epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3515,1.44346,3.3005,1.21956,0,0,0,0,0,47.2345,0,0.0002125,0.0002125,0.0002125
2,165.559,0.98963,1.34774,0.97183,0,0,0,0,0,44.9512,0,0.000433169,0.000433169,0.000433169
3,240.929,0.96285,1.04847,0.95192,0,0,0,0,0,42.5765,0,0.000649382,0.000649382,0.000649382
4,319.662,0.87416,0.94093,0.92058,0,0,0,0,0,41.5077,0,0.000861141,0.000861141,0.000861141
5,395.798,0.87961,0.91466,0.91409,0,0,0,0,0,41.3475,0,0.00106844,0.00106844,0.00106844
6,470.25,0.83265,0.83235,0.90728,0,0,0,0,0,40.908,0,0.00118812,0.00118812,0.00118812
7,541.067,0.84515,0.79157,0.91508,0,0,0,0,0,35.0136,0,0.00117575,0.00117575,0.00117575
8,612.456,0.79625,0.75808,0.89864,0,0,0,0,0,34.3635,0,0.00116337,0.00116337,0.00116337
9,691.808,0.7509,0.71719,0.8752,0,0,0,0,0,32.7737,0,0.001151,0.001151,0.001151
10,767.137,0.728,0.67062,0.88682,0,0,0,0,0,30.9126,0,0.00113863,0.00113863,0.00113863
11,838.95,0.73735,0.64495,0.87862,0,0,0,0,0,27.8793,0,0.00112625,0.00112625,0.00112625
12,911.397,0.73641,0.65096,0.89833,0,0,0,0,0,25.5856,0,0.00111388,0.00111388,0.00111388
13,984.267,0.70101,0.60324,0.88128,0,0,0,0,0,22.2806,0,0.0011015,0.0011015,0.0011015
14,1056.55,0.6829,0.61656,0.88935,0,0,0,0,0,20.7631,0,0.00108913,0.00108913,0.00108913
15,1127.14,0.70305,0.59846,0.89061,0,0,0,0,0,20.7894,0,0.00107675,0.00107675,0.00107675
16,1198.08,0.72403,0.58075,0.8831,0,0,0,0,0,17.8168,0,0.00106437,0.00106437,0.00106437
17,1270.39,0.68327,0.56889,0.87346,0,0,0,0,0,17.2159,0,0.001052,0.001052,0.001052
18,1341.82,0.6398,0.52055,0.86197,0,0,0,0,0,15.3969,0,0.00103962,0.00103962,0.00103962
19,1413.92,0.65713,0.52715,0.86855,0,0,0,0,0,14.1774,0,0.00102725,0.00102725,0.00102725
